_type,_id,_revision,_page.next,id,sugauta_kiekis,matavimo_vnt,zuvies_pav,zuvies_komercinis_pav,zuvies_pav_en,zuvies_mokslinis_pav,seima,zvejybos_pastangos_id,zvejybos_pastangos_pradzia,zvejybos_pastangos_pabaiga,pastangos_trukme_val,ekonomines_zonos_kodas,ekonomines_zonos_pav,fao_zonos_kodas,fao_zonos_pav,laivo_registracijos_numeris,kapitono_id,zvejybos_irankio_pav,zvejybos_irankio_ilgis,zvejybos_irankio_tankumas,gylis,laivo_isvykimo_data_laikas,laivo_isvykimo_uosto_pav,laivo_isvykimo_uosto_salis,ar_isvykimo_uostas_eu,laivo_grizimo_data_laikas,laivo_grizimo_uosto_pavadinimas,laivo_grizimo_uosto_salis,ar_grizimo_uostas_eu
datasets/gov/ztzum/sugautu_zuvu_kiekiai/ZuvuKiekis,cde87a55-120c-4c9a-af4d-c60477582b69,2208925a-308e-4ebb-904f-30cd9b50f43c,,100006,200,Kilogramai,Menkė Atlantinė,Atlantinė menkė,Atlantic Cod,Gadus morhua,Gadidae,76589,2004-12-10T00:00:00,2004-12-10T09:00:00,9,LTU,Lietuva,27.3.d,Baltic Sea (Division Iiid),c1d81ada39edbb3,fd93751649ac3ea,Nežinomi arba išsamiai nenurodyti įrankiai,,,,2004-12-23T00:00:00,---,,,2004-12-23T00:00:00,---,,
datasets/gov/ztzum/sugautu_zuvu_kiekiai/ZuvuKiekis,eeace4b2-95c4-460d-80d0-5d79df5ea1c7,ea57611a-1b34-48b4-8f9f-0d85161baa5d,,100007,225,Kilogramai,Menkė Atlantinė,Atlantinė menkė,Atlantic Cod,Gadus morhua,Gadidae,76587,2004-12-11T00:00:00,2004-12-11T09:00:00,9,LTU,Lietuva,27.3.d,Baltic Sea (Division Iiid),c1d81ada39edbb3,fd93751649ac3ea,Nežinomi arba išsamiai nenurodyti įrankiai,,,,2004-12-23T00:00:00,---,,,2004-12-23T00:00:00,---,,
datasets/gov/ztzum/sugautu_zuvu_kiekiai/ZuvuKiekis,d175f5b4-54c1-4719-95cb-23e8c4ad012a,7e2da4d2-0b64-4ac9-b693-344f578245a0,,100008,200,Kilogramai,Menkė Atlantinė,Atlantinė menkė,Atlantic Cod,Gadus morhua,Gadidae,76593,2004-12-13T00:00:00,2004-12-13T08:27:00,8,LTU,Lietuva,27.3.d,Baltic Sea (Division Iiid),c1d81ada39edbb3,fd93751649ac3ea,Nežinomi arba išsamiai nenurodyti įrankiai,,,,2004-12-23T00:00:00,---,,,2004-12-23T00:00:00,---,,
datasets/gov/ztzum/sugautu_zuvu_kiekiai/ZuvuKiekis,e79733da-93e0-410f-b497-c8634a2dde42,4d57e654-9e33-4731-bfe2-b8fc7093c26e,,100009,400,Kilogramai,Menkė Atlantinė,Atlantinė menkė,Atlantic Cod,Gadus morhua,Gadidae,76596,2004-12-20T00:00:00,2004-12-20T06:00:00,6,LTU,Lietuva,27.3.d,Baltic Sea (Division Iiid),cf8f8fde3e2ba86,fd93751649ac3ea,Nežinomi arba išsamiai nenurodyti įrankiai,,,,2004-12-23T00:00:00,---,,,2004-12-23T00:00:00,---,,
datasets/gov/ztzum/sugautu_zuvu_kiekiai/ZuvuKiekis,a66d7745-acd4-4ba1-afb0-2574e779c436,49c4fe54-9b0b-46c2-9494-10161d0702b8,,10001,160,Kilogramai,Jūriniai paprastieji ešeriai,Paprastieji jūriniai ešeriai,Atlantic Redfishes Nei,Sebastes spp,Scorpaenidae,29196,2012-04-07T20:00:00,2012-04-08T07:00:00,11,XIN,Tarptautiniai vandenys,21.3.M,Flemish Cap,3b3ce5f53d596cb,ecb7937db58ec9d,Dugninis tralas su kėtoklėmis,61,130,934,2012-01-01T17:00:00,Vigo (ESP),Ispanija,TRUE,2012-04-27T15:00:00,---,,
datasets/gov/ztzum/sugautu_zuvu_kiekiai/ZuvuKiekis,6bfde288-dd08-4242-946f-c7a5de52e2d0,1f1f0850-3911-47b6-9812-202d19b7fcb4,,100010,570,Kilogramai,Atlantinė silkė,Strimelė (Baltijos silkė),Atlantic Herring,Clupea harengus,Clupeidae,76607,2004-12-20T00:00:00,2004-12-20T11:00:00,11,LTU,Lietuva,27.3.d,Baltic Sea (Division Iiid),2394c44c50787c4,fd93751649ac3ea,Nežinomi arba išsamiai nenurodyti įrankiai,,,,2004-12-23T00:00:00,---,,,2004-12-23T00:00:00,---,,
datasets/gov/ztzum/sugautu_zuvu_kiekiai/ZuvuKiekis,12adc831-3d34-46d0-83ac-f55a97973768,65ce9391-3d9a-42e1-b001-e562fbcc2def,,100011,1200,Kilogramai,Menkė Atlantinė,Atlantinė menkė,Atlantic Cod,Gadus morhua,Gadidae,76614,2004-12-21T00:00:00,2004-12-21T12:00:00,12,XEU,ES vandenys,27.3.d.26,Southern Central Baltic - East (Subdivision 26),d0104edbb71ca46,fd93751649ac3ea,Nežinomi arba išsamiai nenurodyti įrankiai,,,,2004-12-23T00:00:00,---,,,2004-12-23T00:00:00,---,,
datasets/gov/ztzum/sugautu_zuvu_kiekiai/ZuvuKiekis,9e2d2e64-4f02-463a-b57a-833c222c91ee,2408f4e9-206f-4641-985f-1b87477ef26e,,100012,200,Kilogramai,Atlantinė silkė,Strimelė (Baltijos silkė),Atlantic Herring,Clupea harengus,Clupeidae,76621,2004-12-21T00:00:00,2004-12-21T10:00:00,10,LTU,Lietuva,27.3.d,Baltic Sea (Division Iiid),4cf98a87fa511b0,fd93751649ac3ea,Nežinomi arba išsamiai nenurodyti įrankiai,,,,2004-12-23T00:00:00,---,,,2004-12-23T00:00:00,---,,
datasets/gov/ztzum/sugautu_zuvu_kiekiai/ZuvuKiekis,e9448414-1675-4d36-9e84-f6abbb50151e,c2640693-39ab-40d9-93f7-de6ce4c4c4a9,,100013,210,Kilogramai,Plekšnė europinė upinė (paprastoji),Europinė upinė plekšnė,European Flounder,Platichthys flesus,Pleuronectidae,76629,2004-12-20T00:00:00,2004-12-20T12:00:00,12,LTU,Lietuva,27.3.d,Baltic Sea (Division Iiid),24d68f29f1f4b44,fd93751649ac3ea,Nežinomi arba išsamiai nenurodyti įrankiai,,,,2004-12-27T00:00:00,---,,,2004-12-27T00:00:00,---,,
datasets/gov/ztzum/sugautu_zuvu_kiekiai/ZuvuKiekis,f98aa71a-15a3-4541-a5d6-b63f61b91793,04e74e05-dcb2-43bd-b8e5-e163ba65585a,,100014,2625,Kilogramai,Menkė Atlantinė,Atlantinė menkė,Atlantic Cod,Gadus morhua,Gadidae,76628,2004-12-21T00:00:00,2004-12-21T11:00:00,11,LTU,Lietuva,27.3.d,Baltic Sea (Division Iiid),24d68f29f1f4b44,fd93751649ac3ea,Nežinomi arba išsamiai nenurodyti įrankiai,,,,2004-12-27T00:00:00,---,,,2004-12-27T00:00:00,---,,
